"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SERTM1",-3.60917541039984,0.740858939199973,-36.0550093956967,2.69829565220558e-149,5.26248601049654e-145,330.477714045413
"ANGPT4",-2.08732423088498,0.526198182715515,-35.3643686969915,5.58436049906562e-146,5.44558914066384e-142,322.883638740543
"SH3GL3",-2.30934587778002,0.532326121789147,-34.7973939511643,3.07134240575717e-143,1.99667969798273e-139,316.606864288832
"RS1",-2.10871279910789,0.548704231557215,-34.4478100129379,1.53120931610872e-141,7.4657938230171e-138,312.717929920197
"C10orf67",-2.17635797646552,0.561677888904112,-34.2817569669696,9.85325582070735e-141,3.84336096542511e-137,310.865706096331
"SLC6A4",-5.1061794873828,1.16981956675662,-33.9198113180052,5.76335712726222e-139,1.87337923421659e-135,306.81742630959
"GPM6A",-3.91236959116009,1.19007980795009,-33.8416171075045,1.39084448088333e-138,3.87509141580966e-135,305.940877011627
"CD300LG",-3.01930895734998,0.672581635884638,-32.3802690477131,2.22481606873692e-131,5.42382347357202e-128,289.434129716542
"SGCG",-2.74262321253337,0.955142032158029,-31.6809285935209,6.75492793357513e-128,1.46379288320573e-124,281.453546402692
"CD5L",-1.80983680416201,0.441585040398621,-31.5916928258271,1.88590297702347e-127,3.67807657608887e-124,280.431599627133
"AC008763.3",-1.09341327445364,0.222638044913033,-31.1573010092721,2.82492809342655e-125,5.00859750964527e-122,275.445439551899
"GYPE",-2.16793937897213,0.864250962631927,-30.4771070045701,7.47044109995841e-122,1.21413343977074e-118,267.600886192116
"WNT3A",-3.26278165118732,1.04696267301979,-29.793838236509,2.13646751135235e-118,3.20519429799269e-115,259.677620826
"ITLN2",-5.00389555171562,1.4747267193219,-29.6120996025528,1.78654123828255e-117,2.48877955501605e-114,257.56320013764
"OVCH1",-1.73051686724474,0.443100498456197,-29.433859948417,1.43795977799765e-116,1.86963530335254e-113,255.486748726791
"CHRM1",-2.05429721827054,0.451700781483625,-28.8429958287464,1.47322982239344e-113,1.7957750766337e-110,248.584608313149
"SCUBE1",-2.72296323943268,1.06398689347764,-28.22152604636,2.22464002873086e-110,2.55218555766694e-107,241.295721511835
"RTKN2",-4.0757231908217,2.71034374417227,-28.2048308602926,2.70911364417553e-110,2.93532463346419e-107,241.099522874983
"FREM3",-1.09653781502837,0.207496385570318,-27.889570034065,1.12249705225907e-108,1.15221368474783e-105,237.391000343383
"MYOC",-2.40877690695081,0.552790836261478,-27.7983190120888,3.30264747505947e-108,3.22057668530424e-105,236.316324731778
"SPAAR",-2.05174103655136,1.53421965936294,-27.2986507102066,1.22822316724503e-105,1.14066840146571e-102,230.422198830805
"RXFP1",-1.96712652149591,0.856473102737001,-26.8954985470288,1.47181249802222e-103,1.3047617794967e-100,225.655697472552
"GRIA1",-2.63805002897631,0.841390677474877,-26.8152823426606,3.81849164413843e-103,3.23791489285355e-100,224.706220265369
"PTPRQ",-1.37737636787429,0.302444884613444,-26.6623828721797,2.35228043547687e-102,1.91152188887939e-99,222.895494578771
"ANGPTL7",-1.98785006969632,0.49393195028304,-26.5859480300265,5.83985424367944e-102,4.55578709257921e-99,221.98986140488
"FABP4",-5.59182242541483,3.10065991897692,-26.5778967431412,6.42698858356484e-102,4.82098301327943e-99,221.894449320845
"MYZAP",-2.92004038856949,1.86128570089164,-26.4739045211234,2.21572388760721e-101,1.60049122148161e-98,220.661800652169
"JPH4",-1.57223995198752,0.830959465552581,-26.4360598904849,3.47680045268826e-101,2.42171568674211e-98,220.213088500109
"C20orf202",-1.47625187594986,0.807099322968985,-26.2275122236595,4.16794503500446e-100,2.8030148971618e-97,217.739210716269
"CNTN6",-2.71466768039381,0.949315508295106,-26.1371297180339,1.22376074351007e-99,7.955668593559e-97,216.666452671143
"FAM107A",-4.47958714720003,2.83552854943849,-26.0794070486157,2.43510934323062e-99,1.53199798454925e-96,215.981153944718
"LGI3",-4.72399934131781,1.67249937841609,-25.9781460008548,8.14470523779592e-99,4.96394332039793e-96,214.778621636238
"CA4",-4.27559814544658,1.78017804783332,-25.9276166079001,1.48797784152896e-98,8.63076217929204e-96,214.178401352078
"RSPO1",-2.2928121822407,0.852023015941076,-25.9266841433919,1.5046193616158e-98,8.63076217929204e-96,214.16732399428
"NECAB1",-2.61088738709249,1.3071339259214,-25.7995578542058,6.85610698592789e-98,3.82041870133004e-95,212.656792559894
"FXYD1",-2.15120687722619,1.14231148342191,-25.6934787652776,2.43152722273421e-97,1.31727987291626e-94,211.395884059675
"KCNA4",-1.60746468950732,0.338526282369688,-25.6715982684066,3.15722824547721e-97,1.66420060733897e-94,211.135751242329
"PYCR1",3.45318365445835,6.42889903771121,25.6044572593707,7.03727463553798e-97,3.61178861097098e-94,210.337420921712
"HBA1",-2.50354911956891,0.755498761421904,-25.5346680264602,1.61920733178212e-96,8.09728220301197e-94,209.507439604652
"OTC",-1.24892337431102,0.316378335753919,-25.3940208993386,8.68650926501492e-96,4.23532475488965e-93,207.834287029031
"TAL1",-2.11517609930042,1.37664803979709,-25.2779410865178,3.47657107875936e-95,1.65374550607424e-92,206.452933521699
"NCKAP5",-3.20133905411675,1.47369760987101,-24.9255648094554,2.34685338540286e-93,1.08977813275028e-90,202.257411154081
"TEK",-3.1895626816145,3.06069273990873,-24.7656243896725,1.58931892748819e-92,7.20848535879119e-90,200.352147011192
