StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
TCGA-05-4249-01	226.355465978483	1510.91301880751	1737.26848478599	0.652438936064343
TCGA-05-4250-01	467.804692741385	1742.95683933549	2210.76153207687	0.598233635828076
TCGA-05-4382-01	1291.06012095451	2051.49506671826	3342.55518767276	0.457481436943029
TCGA-05-4384-01	130.319739212505	1293.48412208662	1423.80386129913	0.686606614252823
TCGA-05-4389-01	-151.00432760849	1981.03184186742	1830.02751425893	0.642060047800778
TCGA-05-4390-01	238.270753307926	666.900034006303	905.170787314229	0.739912686069492
TCGA-05-4396-01	-553.602805180684	282.553843409748	-271.048961770936	0.844481308426195
TCGA-05-4397-01	-513.346458829595	938.101610532439	424.755151702844	0.785472984445848
TCGA-05-4398-01	509.992488461514	1956.54608530452	2466.53857376603	0.567733401010274
TCGA-05-4402-01	400.089604159287	1380.08498533628	1780.17458949556	0.647653053467011
TCGA-05-4403-01	301.048358151172	1764.28906275947	2065.33742091064	0.615201514048723
TCGA-05-4405-01	943.498277843362	1276.00595148343	2219.50422932679	0.597204786041263
TCGA-05-4415-01	-928.728187562136	587.872314310042	-340.855873252095	0.849924935082937
TCGA-05-4417-01	1415.97951917346	2100.44369327357	3516.42321244703	0.434640433489715
TCGA-05-4418-01	103.817656267086	1770.66679149283	1874.48444775992	0.637043408170442
TCGA-05-4420-01	-204.909760333331	402.090450050093	197.180689716762	0.805705319566111
TCGA-05-4422-01	-494.276932667246	1964.9785892674	1470.70165660015	0.681585478056055
TCGA-05-4424-01	656.462640586818	1621.23436186167	2277.69700244849	0.590331619791106
TCGA-05-4425-01	606.566052223874	2035.07539914022	2641.64145136409	0.546389116122276
TCGA-05-4426-01	-325.295171743794	1214.52627484131	889.231103097519	0.741484623196533
TCGA-05-4427-01	208.258334415125	1322.12083436712	1530.37916878225	0.675149403996303
TCGA-05-4430-01	1208.83590771108	1828.71443453697	3037.55034224805	0.496821099247527
TCGA-05-4432-01	-19.5228700523479	1439.04673294649	1419.52386289414	0.687063237765191
TCGA-05-4433-01	-137.822281917692	1978.38588445187	1840.56360253418	0.640873591535056
TCGA-05-4434-01	735.263924952233	2322.65054160444	3057.91446655667	0.494224682382997
TCGA-05-5420-01	759.713020924732	2868.796981272	3628.51000219673	0.419764598914637
TCGA-05-5423-01	328.495221751624	2213.13140546959	2541.62662722121	0.558625605924947
TCGA-05-5425-01	420.85937568392	2267.52369919318	2688.3830748771	0.540629889995641
TCGA-05-5428-01	358.173469629363	1294.75565269946	1652.92912232882	0.661770804543224
TCGA-05-5429-01	-209.647520182576	565.454341635714	355.806821453138	0.791696380917842
TCGA-05-5715-01	620.068951224676	1366.57544749354	1986.64439871821	0.624266904952652
TCGA-35-3615-01	-126.874096135724	957.832218385867	830.958122250143	0.747196767498613
TCGA-35-4122-01	900.054216547298	2521.97481183365	3422.02902838095	0.447077056126432
TCGA-35-4123-01	832.325541719215	2460.5158131546	3292.84135487382	0.463958198854812
TCGA-35-5375-01	88.8534172273079	1558.68451858217	1647.53793580948	0.662363887500432
TCGA-38-4625-01	71.1790875164352	1541.30968157339	1612.48876908983	0.666209505719484
TCGA-38-4626-01	1159.10206111925	2271.37718389584	3430.47924501509	0.445967185890854
TCGA-38-4627-01	2082.94484411808	1940.275331712	4023.22017583008	0.366502420783104
