"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CYP4B1",3.63665493869864,4.83331556604789,25.0538198956882,2.63622432170078e-90,5.14142829461303e-86,194.806422483128
"ADH1B",2.8410068192434,3.33828428274148,22.4528938333085,1.07627568365915e-77,1.04953023292022e-73,166.072536514828
"ADAMTS8",1.57737983884845,1.63565681996726,19.5017741621547,2.19082027431567e-63,1.42425226033262e-59,133.445963008603
"INMT",1.99361874321553,3.90087147676573,18.5826494383772,5.68740066372305e-59,2.77303437861476e-55,123.377273909785
"VEGFD",1.97713111647705,2.11214087351626,18.3506124083148,7.30652151255723e-58,2.84998178118807e-54,120.848072914165
"SCN4B",1.21902362131646,1.8192671448519,17.8166836091199,2.53954476888731e-55,8.25479027126819e-52,115.051768053884
"C16orf89",3.21010215664625,6.88201116364809,17.7094607752368,8.18736966525638e-55,2.28111815116422e-51,113.892088994135
"CFAP221",1.56217759182062,2.1650133566289,17.4522940767008,1.34789825870123e-53,3.28600746743126e-50,111.117116203247
"MAMDC2",1.68330704940389,2.62327449889847,17.1808591509151,2.56497921744431e-52,5.55830996420181e-49,108.198644276638
"CENPA",-1.53234948515762,3.03550723045904,-16.9766817087988,2.33443076424664e-51,4.55284031951022e-48,106.01088879392
"C7",2.33924732714748,4.73065762038335,16.923930024959,4.12565097094743e-51,7.3147791714898e-48,105.446761006754
"SCN7A",1.50890433322222,2.37234699124719,16.9130642731331,4.63882876037865e-51,7.53925644280539e-48,105.330620045354
"C1QTNF7",1.12665175492676,1.31225053397575,16.7546848044642,2.55602373113515e-50,3.83462544833299e-47,103.640024183495
"ABCA8",1.1800616621638,1.43496677497549,16.4912526065347,4.32573379847578e-49,6.02605616226237e-46,100.837846002195
"CDCA3",-1.20643464666333,2.57992395648834,-16.3395639565986,2.19238185520306e-48,2.85053488813502e-45,99.2301126254678
"SKA3",-1.24482805288931,2.7496490467069,-16.2078762932904,8.93858376067609e-48,1.08196451895512e-44,97.8379600062924
"METTL7A",1.22966906270801,5.53101510076212,16.2028445690161,9.43106025854328e-48,1.08196451895512e-44,97.784834207931
"TROAP",-1.49447915774011,3.144757379354,-16.1667040160751,1.3860861206941e-47,1.50182431177206e-44,97.4034045007239
"PEBP4",2.69698465293198,4.00397718347239,16.1179349698117,2.32955813507456e-47,2.39123012149259e-44,96.8891086187346
"AURKB",-1.50887586173412,3.90342204938246,-16.0303443430387,5.91179714538784e-47,5.76488898632495e-44,95.9666330577387
"SUSD2",2.54203869346525,5.37079046536635,16.00529297616,7.71377108094835e-47,6.83825806326071e-44,95.7030908206937
"CCNB2",-1.36019252230145,4.18082082615885,-15.9752557394177,1.0610502796889e-46,8.99724504555328e-44,95.3872690134517
"BIRC5",-1.62235323688308,4.58738813090043,-15.8863904610972,2.72216488838218e-46,2.21209924242157e-43,94.4540200103237
"HJURP",-1.48343764884644,3.36923419671817,-15.8755909674884,3.05204407648197e-46,2.38096062494512e-43,94.3407196995383
"MCM10",-1.29123639544322,2.31752007166746,-15.7823960054101,8.18130916457188e-46,6.1369258706402e-43,93.3640302894642
"CEP55",-1.43840426732609,4.13402776214829,-15.7364969687222,1.32870150024391e-45,9.59765383676183e-43,92.883700062424
"CCNB1",-1.34310179082465,5.30162931657331,-15.7275652334974,1.4601137012931e-45,1.01702133986854e-42,92.7902839355318
"CDC20",-1.6048305524687,5.2604611578327,-15.7128551302661,1.70540575878503e-45,1.1469147763305e-42,92.6364708732434
"TPX2",-1.66269142872823,5.110816484201,-15.7018471170633,1.91550045683598e-45,1.24526684698907e-42,92.521399295372
"UBE2C",-1.87477126697727,5.86499965105676,-15.64670053925,3.42662395576789e-45,2.15578861320456e-42,91.9453345453918
"NFIX",1.37571471144561,4.93922989703818,15.5243009913375,1.24284959548778e-44,7.57477989399942e-42,90.6691951511169
"AUNIP",-1.05251925985374,1.95989464919789,-15.4543168363794,2.59227210213679e-44,1.50304019556108e-41,89.9410865127187
"ATP13A4",2.09420521407221,3.43552094806981,15.453292884994,2.62028234882206e-44,1.50304019556108e-41,89.9304418855976
"NCAPG",-1.3538305447178,3.02087765802991,-15.4393205466235,3.03408623003155e-44,1.64078919070457e-41,89.7852150711893
"CTSH",1.60053725340447,7.55218487462523,15.4390392642081,3.0430541318129e-44,1.64078919070457e-41,89.7822919255676
"SLC15A2",1.44401941459045,3.36976637699461,15.4368790645361,3.11281341619593e-44,1.64078919070457e-41,89.7598432984952
"CDCA5",-1.40568675960742,3.87435615537487,-15.4268904005003,3.45670550359871e-44,1.77410861675489e-41,89.6560561374421
"ACKR1",1.80060882957418,3.58974562334075,15.4218618862563,3.64392061270064e-44,1.82224060793591e-41,89.6038162703318
"SCTR",2.24048424009478,3.22482408523966,15.4008434874843,4.54241225808027e-44,2.21476665673349e-41,89.3855264054945
"KIF23",-1.25854282504291,3.02728918078865,-15.3792604448188,5.69545383181293e-44,2.70923014833775e-41,89.1614811345245
"NUF2",-1.39335724994378,3.26338307244005,-15.3087562552235,1.19155343105436e-43,5.50798865767368e-41,88.4303783968479
"KIF2C",-1.45455885731461,3.9572275873509,-15.3069411417696,1.21439528421252e-43,5.50798865767368e-41,88.4115720846457
"SKA1",-1.2572439903106,2.51306962120689,-15.2894278543997,1.45851172789846e-43,6.46485323390992e-41,88.2301585390495
"SFTPD",2.87972218747544,7.34790463272942,15.2574738891457,2.03690103246734e-43,8.82792907471346e-41,87.8993509584955
"SCGB3A2",3.7225783733123,7.17984113218472,15.1734505223981,4.8965486997087e-43,2.03185934660465e-40,87.0306794307373
"PHACTR1",1.01158229542561,2.12311214794108,15.1657615996869,5.30530198302833e-43,2.1556105119792e-40,86.9512747982251
"CCNA2",-1.36052015289764,4.17138630043157,-15.1465261774043,6.48323369624093e-43,2.58045932199565e-40,86.7526920857471
"AURKA",-1.32355054888595,4.33764578691361,-15.0953285503934,1.10503368635659e-42,4.31029439700253e-40,86.2245880016886
